   t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   3.500E+00  -1.000E+01  -2.500E+00  -4.055E+00   1.079E+01   2.935E-01
   3.500E+00  -9.900E+00  -2.400E+00  -4.024E+00   1.099E+01   3.231E-01
   3.500E+00  -9.800E+00  -2.300E+00  -3.991E+00   1.116E+01   3.533E-01
   3.500E+00  -9.700E+00  -2.200E+00  -3.954E+00   1.130E+01   3.842E-01
   3.500E+00  -9.600E+00  -2.100E+00  -3.914E+00   1.141E+01   4.156E-01
   3.500E+00  -9.500E+00  -2.000E+00  -3.871E+00   1.147E+01   4.477E-01
   3.500E+00  -9.400E+00  -1.900E+00  -3.824E+00   1.149E+01   4.791E-01
   3.500E+00  -9.300E+00  -1.800E+00  -3.775E+00   1.146E+01   5.086E-01
   3.500E+00  -9.200E+00  -1.700E+00  -3.723E+00   1.139E+01   5.362E-01
   3.500E+00  -9.100E+00  -1.600E+00  -3.668E+00   1.127E+01   5.620E-01
   3.500E+00  -9.000E+00  -1.500E+00  -3.610E+00   1.111E+01   5.858E-01
   3.500E+00  -8.900E+00  -1.400E+00  -3.551E+00   1.090E+01   6.079E-01
   3.500E+00  -8.800E+00  -1.300E+00  -3.489E+00   1.064E+01   6.282E-01
   3.500E+00  -8.700E+00  -1.200E+00  -3.425E+00   1.036E+01   6.469E-01
   3.500E+00  -8.600E+00  -1.100E+00  -3.359E+00   1.004E+01   6.638E-01
   3.500E+00  -8.500E+00  -1.000E+00  -3.292E+00   9.704E+00   6.791E-01
   3.500E+00  -8.400E+00  -9.000E-01  -3.224E+00   9.352E+00   6.927E-01
   3.500E+00  -8.300E+00  -8.000E-01  -3.154E+00   8.992E+00   7.048E-01
   3.500E+00  -8.200E+00  -7.000E-01  -3.083E+00   8.630E+00   7.155E-01
   3.500E+00  -8.100E+00  -6.000E-01  -3.011E+00   8.275E+00   7.246E-01
   3.500E+00  -8.000E+00  -5.000E-01  -2.938E+00   7.932E+00   7.323E-01
   3.500E+00  -7.900E+00  -4.000E-01  -2.864E+00   7.608E+00   7.386E-01
   3.500E+00  -7.800E+00  -3.000E-01  -2.790E+00   7.307E+00   7.438E-01
   3.500E+00  -7.700E+00  -2.000E-01  -2.716E+00   7.032E+00   7.480E-01
   3.500E+00  -7.600E+00  -1.000E-01  -2.641E+00   6.788E+00   7.510E-01
   3.500E+00  -7.500E+00   0.000E+00  -2.565E+00   6.578E+00   7.529E-01
   3.500E+00  -7.400E+00   1.000E-01  -2.490E+00   6.405E+00   7.539E-01
   3.500E+00  -7.300E+00   2.000E-01  -2.415E+00   6.269E+00   7.541E-01
   3.500E+00  -7.200E+00   3.000E-01  -2.339E+00   6.171E+00   7.535E-01
   3.500E+00  -7.100E+00   4.000E-01  -2.264E+00   6.111E+00   7.521E-01
   3.500E+00  -7.000E+00   5.000E-01  -2.189E+00   6.089E+00   7.500E-01
   3.500E+00  -6.900E+00   6.000E-01  -2.114E+00   6.104E+00   7.471E-01
   3.500E+00  -6.800E+00   7.000E-01  -2.040E+00   6.155E+00   7.435E-01
   3.500E+00  -6.700E+00   8.000E-01  -1.965E+00   6.240E+00   7.392E-01
   3.500E+00  -6.600E+00   9.000E-01  -1.892E+00   6.355E+00   7.343E-01
   3.500E+00  -6.500E+00   1.000E+00  -1.819E+00   6.500E+00   7.286E-01
   3.500E+00  -6.400E+00   1.100E+00  -1.746E+00   6.669E+00   7.223E-01
   3.500E+00  -6.300E+00   1.200E+00  -1.674E+00   6.860E+00   7.154E-01
   3.500E+00  -6.200E+00   1.300E+00  -1.603E+00   7.066E+00   7.079E-01
   3.500E+00  -6.100E+00   1.400E+00  -1.533E+00   7.281E+00   6.997E-01
   3.500E+00  -6.000E+00   1.500E+00  -1.463E+00   7.502E+00   6.910E-01
   3.500E+00  -5.900E+00   1.600E+00  -1.394E+00   7.723E+00   6.815E-01
   3.500E+00  -5.800E+00   1.700E+00  -1.327E+00   7.945E+00   6.712E-01
   3.500E+00  -5.700E+00   1.800E+00  -1.260E+00   8.172E+00   6.601E-01
   3.500E+00  -5.600E+00   1.900E+00  -1.195E+00   8.403E+00   6.483E-01
   3.500E+00  -5.500E+00   2.000E+00  -1.131E+00   8.642E+00   6.357E-01
   3.500E+00  -5.400E+00   2.100E+00  -1.068E+00   8.888E+00   6.226E-01
   3.500E+00  -5.300E+00   2.200E+00  -1.006E+00   9.136E+00   6.095E-01
   3.500E+00  -5.200E+00   2.300E+00  -9.457E-01   9.382E+00   5.964E-01
   3.500E+00  -5.100E+00   2.400E+00  -8.867E-01   9.620E+00   5.832E-01
   3.600E+00  -1.000E+01  -2.800E+00  -3.532E+00   1.227E+00   5.974E-01
   3.600E+00  -9.900E+00  -2.700E+00  -3.470E+00   1.251E+00   6.306E-01
   3.600E+00  -9.800E+00  -2.600E+00  -3.406E+00   1.320E+00   6.610E-01
   3.600E+00  -9.700E+00  -2.500E+00  -3.338E+00   1.434E+00   6.885E-01
   3.600E+00  -9.600E+00  -2.400E+00  -3.268E+00   1.594E+00   7.124E-01
   3.600E+00  -9.500E+00  -2.300E+00  -3.196E+00   1.797E+00   7.320E-01
   3.600E+00  -9.400E+00  -2.200E+00  -3.122E+00   2.041E+00   7.472E-01
   3.600E+00  -9.300E+00  -2.100E+00  -3.046E+00   2.319E+00   7.581E-01
   3.600E+00  -9.200E+00  -2.000E+00  -2.970E+00   2.628E+00   7.646E-01
   3.600E+00  -9.100E+00  -1.900E+00  -2.894E+00   2.959E+00   7.680E-01
   3.600E+00  -9.000E+00  -1.800E+00  -2.817E+00   3.305E+00   7.693E-01
   3.600E+00  -8.900E+00  -1.700E+00  -2.740E+00   3.661E+00   7.685E-01
   3.600E+00  -8.800E+00  -1.600E+00  -2.663E+00   4.021E+00   7.656E-01
   3.600E+00  -8.700E+00  -1.500E+00  -2.587E+00   4.381E+00   7.607E-01
   3.600E+00  -8.600E+00  -1.400E+00  -2.511E+00   4.735E+00   7.544E-01
   3.600E+00  -8.500E+00  -1.300E+00  -2.436E+00   5.079E+00   7.474E-01
   3.600E+00  -8.400E+00  -1.200E+00  -2.362E+00   5.412E+00   7.396E-01
   3.600E+00  -8.300E+00  -1.100E+00  -2.288E+00   5.731E+00   7.310E-01
   3.600E+00  -8.200E+00  -1.000E+00  -2.215E+00   6.036E+00   7.217E-01
   3.600E+00  -8.100E+00  -9.000E-01  -2.144E+00   6.324E+00   7.122E-01
   3.600E+00  -8.000E+00  -8.000E-01  -2.073E+00   6.593E+00   7.028E-01
   3.600E+00  -7.900E+00  -7.000E-01  -2.003E+00   6.842E+00   6.936E-01
   3.600E+00  -7.800E+00  -6.000E-01  -1.934E+00   7.072E+00   6.846E-01
   3.600E+00  -7.700E+00  -5.000E-01  -1.866E+00   7.281E+00   6.759E-01
   3.600E+00  -7.600E+00  -4.000E-01  -1.799E+00   7.468E+00   6.677E-01
   3.600E+00  -7.500E+00  -3.000E-01  -1.733E+00   7.631E+00   6.607E-01
   3.600E+00  -7.400E+00  -2.000E-01  -1.667E+00   7.769E+00   6.548E-01
   3.600E+00  -7.300E+00  -1.000E-01  -1.602E+00   7.882E+00   6.500E-01
   3.600E+00  -7.200E+00   0.000E+00  -1.537E+00   7.968E+00   6.463E-01
   3.600E+00  -7.100E+00   1.000E-01  -1.472E+00   8.028E+00   6.436E-01
   3.600E+00  -7.000E+00   2.000E-01  -1.408E+00   8.063E+00   6.417E-01
   3.600E+00  -6.900E+00   3.000E-01  -1.344E+00   8.075E+00   6.406E-01
   3.600E+00  -6.800E+00   4.000E-01  -1.280E+00   8.063E+00   6.405E-01
   3.600E+00  -6.700E+00   5.000E-01  -1.216E+00   8.031E+00   6.411E-01
   3.600E+00  -6.600E+00   6.000E-01  -1.152E+00   7.978E+00   6.425E-01
   3.600E+00  -6.500E+00   7.000E-01  -1.087E+00   7.907E+00   6.445E-01
   3.600E+00  -6.400E+00   8.000E-01  -1.023E+00   7.821E+00   6.471E-01
   3.600E+00  -6.300E+00   9.000E-01  -9.579E-01   7.721E+00   6.503E-01
   3.600E+00  -6.200E+00   1.000E+00  -8.926E-01   7.610E+00   6.542E-01
   3.600E+00  -6.100E+00   1.100E+00  -8.270E-01   7.491E+00   6.582E-01
   3.600E+00  -6.000E+00   1.200E+00  -7.610E-01   7.366E+00   6.622E-01
   3.600E+00  -5.900E+00   1.300E+00  -6.946E-01   7.239E+00   6.660E-01
   3.600E+00  -5.800E+00   1.400E+00  -6.278E-01   7.110E+00   6.697E-01
   3.600E+00  -5.700E+00   1.500E+00  -5.607E-01   6.982E+00   6.732E-01
   3.600E+00  -5.600E+00   1.600E+00  -4.932E-01   6.857E+00   6.766E-01
   3.600E+00  -5.500E+00   1.700E+00  -4.254E-01   6.737E+00   6.795E-01
   3.600E+00  -5.400E+00   1.800E+00  -3.573E-01   6.624E+00   6.822E-01
   3.600E+00  -5.300E+00   1.900E+00  -2.889E-01   6.519E+00   6.845E-01
   3.600E+00  -5.200E+00   2.000E+00  -2.204E-01   6.423E+00   6.865E-01
   3.600E+00  -5.100E+00   2.100E+00  -1.517E-01   6.341E+00   6.873E-01
   3.700E+00  -1.000E+01  -3.100E+00  -2.889E+00   1.281E+01   2.374E-01
   3.700E+00  -9.900E+00  -3.000E+00  -2.863E+00   1.258E+01   2.787E-01
   3.700E+00  -9.800E+00  -2.900E+00  -2.833E+00   1.230E+01   3.187E-01
   3.700E+00  -9.700E+00  -2.800E+00  -2.799E+00   1.200E+01   3.563E-01
   3.700E+00  -9.600E+00  -2.700E+00  -2.762E+00   1.166E+01   3.915E-01
   3.700E+00  -9.500E+00  -2.600E+00  -2.721E+00   1.129E+01   4.242E-01
   3.700E+00  -9.400E+00  -2.500E+00  -2.677E+00   1.089E+01   4.545E-01
   3.700E+00  -9.300E+00  -2.400E+00  -2.630E+00   1.046E+01   4.831E-01
   3.700E+00  -9.200E+00  -2.300E+00  -2.580E+00   1.000E+01   5.109E-01
   3.700E+00  -9.100E+00  -2.200E+00  -2.528E+00   9.512E+00   5.378E-01
   3.700E+00  -9.000E+00  -2.100E+00  -2.473E+00   9.002E+00   5.639E-01
