t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   3.500E+00  -1.000E+01  -2.500E+00  -4.239E+00   1.043E+01   2.994E-01
   3.500E+00  -9.900E+00  -2.400E+00  -4.208E+00   1.065E+01   3.291E-01
   3.500E+00  -9.800E+00  -2.300E+00  -4.173E+00   1.086E+01   3.580E-01
   3.500E+00  -9.700E+00  -2.200E+00  -4.136E+00   1.106E+01   3.860E-01
   3.500E+00  -9.600E+00  -2.100E+00  -4.096E+00   1.123E+01   4.133E-01
   3.500E+00  -9.500E+00  -2.000E+00  -4.054E+00   1.138E+01   4.397E-01
   3.500E+00  -9.400E+00  -1.900E+00  -4.008E+00   1.149E+01   4.653E-01
   3.500E+00  -9.300E+00  -1.800E+00  -3.961E+00   1.157E+01   4.898E-01
   3.500E+00  -9.200E+00  -1.700E+00  -3.910E+00   1.162E+01   5.133E-01
   3.500E+00  -9.100E+00  -1.600E+00  -3.858E+00   1.162E+01   5.358E-01
   3.500E+00  -9.000E+00  -1.500E+00  -3.803E+00   1.158E+01   5.572E-01
   3.500E+00  -8.900E+00  -1.400E+00  -3.747E+00   1.149E+01   5.777E-01
   3.500E+00  -8.800E+00  -1.300E+00  -3.688E+00   1.136E+01   5.970E-01
   3.500E+00  -8.700E+00  -1.200E+00  -3.627E+00   1.118E+01   6.152E-01
   3.500E+00  -8.600E+00  -1.100E+00  -3.565E+00   1.097E+01   6.323E-01
   3.500E+00  -8.500E+00  -1.000E+00  -3.501E+00   1.071E+01   6.483E-01
   3.500E+00  -8.400E+00  -9.000E-01  -3.435E+00   1.041E+01   6.632E-01
   3.500E+00  -8.300E+00  -8.000E-01  -3.368E+00   1.008E+01   6.768E-01
   3.500E+00  -8.200E+00  -7.000E-01  -3.300E+00   9.735E+00   6.893E-01
   3.500E+00  -8.100E+00  -6.000E-01  -3.230E+00   9.371E+00   7.005E-01
   3.500E+00  -8.000E+00  -5.000E-01  -3.160E+00   9.003E+00   7.105E-01
   3.500E+00  -7.900E+00  -4.000E-01  -3.088E+00   8.638E+00   7.193E-01
   3.500E+00  -7.800E+00  -3.000E-01  -3.016E+00   8.282E+00   7.271E-01
   3.500E+00  -7.700E+00  -2.000E-01  -2.943E+00   7.939E+00   7.339E-01
   3.500E+00  -7.600E+00  -1.000E-01  -2.869E+00   7.613E+00   7.395E-01
   3.500E+00  -7.500E+00   0.000E+00  -2.795E+00   7.311E+00   7.441E-01
   3.500E+00  -7.400E+00   1.000E-01  -2.720E+00   7.036E+00   7.477E-01
   3.500E+00  -7.300E+00   2.000E-01  -2.646E+00   6.790E+00   7.504E-01
   3.500E+00  -7.200E+00   3.000E-01  -2.570E+00   6.577E+00   7.523E-01
   3.500E+00  -7.100E+00   4.000E-01  -2.495E+00   6.400E+00   7.532E-01
   3.500E+00  -7.000E+00   5.000E-01  -2.420E+00   6.261E+00   7.533E-01
   3.500E+00  -6.900E+00   6.000E-01  -2.344E+00   6.163E+00   7.526E-01
   3.500E+00  -6.800E+00   7.000E-01  -2.269E+00   6.103E+00   7.511E-01
   3.500E+00  -6.700E+00   8.000E-01  -2.194E+00   6.082E+00   7.488E-01
   3.500E+00  -6.600E+00   9.000E-01  -2.120E+00   6.096E+00   7.457E-01
   3.500E+00  -6.500E+00   1.000E+00  -2.045E+00   6.146E+00   7.419E-01
   3.500E+00  -6.400E+00   1.100E+00  -1.971E+00   6.228E+00   7.374E-01
   3.500E+00  -6.300E+00   1.200E+00  -1.898E+00   6.340E+00   7.323E-01
   3.500E+00  -6.200E+00   1.300E+00  -1.825E+00   6.479E+00   7.267E-01
   3.500E+00  -6.100E+00   1.400E+00  -1.752E+00   6.642E+00   7.205E-01
   3.500E+00  -6.000E+00   1.500E+00  -1.681E+00   6.825E+00   7.138E-01
   3.500E+00  -5.900E+00   1.600E+00  -1.610E+00   7.025E+00   7.063E-01
   3.500E+00  -5.800E+00   1.700E+00  -1.539E+00   7.241E+00   6.981E-01
